0,1,2,3,4
서은주,,,VFX 매니지먼트,기생충|PMC: 더 벙커|신과함께-인과 연|독전|1987|신과함께-죄와 벌|대립군|리얼|죽이고 싶은
이인범,,,VFX 아티스트,봉오동 전투|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군
이문선,,,VFX 아티스트,장사리 : 잊혀진 영웅들|신과함께-인과 연|독전|1987|신과함께-죄와 벌|7호실|침묵|대립군|죽여주는 여자|회사원
정다솜,,,VFX 아티스트,모가디슈|반도|백두산|기생충|사자|PMC: 더 벙커|신과함께-인과 연|조선명탐정: 흡혈괴마의 비밀|신과함께-죄와 벌|리얼|서부전선|황구
김고은,,,VFX 매니지먼트,모가디슈|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|대립군|리얼|조작된 도시|해적: 바다로 간 산적|미스터 고|헤드|써니|초능력자
이유나,,,VFX 아티스트,모가디슈|PMC: 더 벙커|신과함께-인과 연|독전|신과함께-죄와 벌|대립군|서부전선
이진희,,,VFX 아티스트,방법: 재차의|반도|백두산|봉오동 전투|기생충|신과함께-인과 연|독전|신과함께-죄와 벌|대립군
김지수,,,VFX 아티스트,보이스|기생충|사자|PMC: 더 벙커|신과함께-인과 연|신과함께-죄와 벌|대립군|리얼
정수현,,,VFX 아티스트,백두산|사자|신과함께-인과 연|신과함께-죄와 벌
김현우,KIM Hyun-woo,KIM Hyun-woo,VFX 아티스트,"모가디슈|강철비2: 정상회담|장사리 : 잊혀진 영웅들|비스트|스윙키즈|안시성|마녀|레슬러|물괴|1987|신과함께-죄와 벌|대호|탐정 : 더 비기닝|함정|암살|검은손|파일 : 4022일의 사육|극비수사|허삼관|해적: 바다로 간 산적|피크닉|바세코의 아이들|미스터 고|R2B: 리턴투베이스|봄, 눈|시체가 돌아왔다|메이크 유어 무브 |댄싱퀸|원더풀 라디오|투혼|카운트다운|도가니|가문의 영광4 - 가문의 수난|푸른소금|홍길동 2084|블라인드|7광구|고양이: 죽음을 보는 두 개의 눈|풍산개|모비딕|세상에서 가장 아름다운 이별|위험한 상견례|로맨틱 헤븐|나는 아빠다|혈투|그대를 사랑합니다|만추|심장이 뛴다|황해|헬로우 고스트|김종욱 찾기|소와 함께 여행하는 법|부당거래|참을 수 없는|심야의 F.M.|그랑프리|시라노; 연애조작단|해결사|김복남 살인사건의 전말|고死 두 번째 이야기: 교생실습|맨발의 꿈|내 깡패 같은 애인|하녀|된장|파주"
정여진,,,VFX 아티스트,승리호|백두산|미스터 주: 사라진 VIP|PMC: 더 벙커|신과함께-인과 연|독전|1987|신과함께-죄와 벌|대립군|살인자의 기억법|리얼|슈퍼 프렌즈|서부전선|해적: 바다로 간 산적|미스터 고|코알라 키드 : 영웅의 탄생
장효석,,,VFX 아티스트,"모가디슈|승리호|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군|리얼|조작된 도시|고산자, 대동여지도|위대한 소원|나홀로 휴가|그날의 분위기|열정같은소리하고있네|오피스|쓰리 썸머 나잇|손님|차이나타운"
차동호,CHA Dong-ho,CHA Dong-ho,VFX 슈퍼바이저,모가디슈|승리호|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|독전|1987|신과함께-죄와 벌|7호실|침묵|대립군|살인자의 기억법|리얼|조작된 도시|다른 길이 있다|서부전선|해적: 바다로 간 산적|미스터 고|가비|푸른소금|모비딕|심장이 뛴다|이파네마 소년|부당거래|해결사|죽이고 싶은|해운대
김병훈,,,VFX 아티스트,모가디슈|승리호|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|대립군|리얼|조작된 도시|다른 길이 있다|서부전선
백현정,,,VFX 아티스트,백두산|봉오동 전투|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|리얼|소규모 아카시아 밴드 이야기
이승진,,,VFX 아티스트,모가디슈|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌
조정윤,,,VFX 매니지먼트,모가디슈|백두산|봉오동 전투|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|대립군|리얼|조작된 도시
김관태,,,VFX 슈퍼바이저,모가디슈|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|독전|1987|신과함께-죄와 벌|침묵|대립군|살인자의 기억법|리얼|조작된 도시|서부전선|해적: 바다로 간 산적|피크닉|미스터 고
이지연,,,VFX 아티스트,모가디슈|반도|백두산|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|창궐|신과함께-인과 연|조선명탐정: 흡혈괴마의 비밀|신과함께-죄와 벌|박열|하루|대립군|리얼|싱글라이더|조작된 도시|판도라|밀정|국가대표 2|부산행|명량|조선미녀삼총사|관상|더 테러 라이브|체포왕|세리와 하르|가루지기|춘곤증 
장문석,,,VFX 아티스트,백두산|봉오동 전투|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|대립군|리얼|서부전선
이승민,,,VFX 아티스트,귀문|모가디슈|백두산|봉오동 전투|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군|리얼|조작된 도시|서부전선
이승연,,,VFX 아티스트,모가디슈|반도|백두산|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌
황영애,,,VFX 매니지먼트,모가디슈|천문: 하늘에 묻는다|신과함께-인과 연|신과함께-죄와 벌|대립군|리얼|조작된 도시|서부전선|해적: 바다로 간 산적|미스터 고|푸른소금|모비딕|부당거래
이담,,,VFX 아티스트,방법: 재차의|반도|남산의 부장들|봉오동 전투|PMC: 더 벙커|신과함께-인과 연|신과함께-죄와 벌|대립군|리얼|조작된 도시|용의자
김용화,KIM Yong-hwa,KIM Yong-hwa,감독,"모가디슈|사일런스(가제)|더 문|백두산|힘을 내요, 미스터 리|신과함께-인과 연|신과함께-죄와 벌|미스터 고|마이 웨이|국가대표 완결판-못 다한 이야기|국가대표|미녀는 괴로워|오! 브라더스|자반고등어"
장광,JANG Kwang,JANG Kwang,배우,"화이트데이: 부서진 결계|싱크홀|아수라도 |에덴의 남쪽|썰|가나의 혼인잔치: 언약|매지컬: 공주를 웃겨라|균|강철비2: 정상회담|동네사람들|안시성|협상|60일의 썸머|신과함께-인과 연|덕구|신과함께-죄와 벌|로마의 휴일|보통사람|트롤|터닝메카드W: 블랙미러의 부활|당신, 거기 있어줄래요|나쁜놈은 죽는다 무삭제 특별판|나쁜놈은 죽는다|돌연변이|치외법권|간신|허삼관|제보자|소수의견|찌라시: 위험한 소문|수상한 그녀|플랜맨|집으로 가는 길|결혼전야|아유레디?|은밀하게 위대하게|피노키오: 당나귀 섬의 비밀|신세계|눈의 여왕|음치 클리닉 |26년|내가 살인범이다|광해, 왕이 된 남자|도가니|마루 밑 아리에티|슈렉 포에버|오디션|드래곤 헌터|휘파람공주|별주부 해로|붉은 매|라이온 킹|장군의 아들 3|장군의 아들 2|외계에서 온 우뢰매 전격 쓰리 작전|메밀꽃, 운수 좋은 날, 그리고 봄봄"
박성현,PARK Sung-hyun,PARK Sung-hyun,VFX 아티스트,"봉오동 전투|비스트|악몽|뺑반|점박이 한반도의 공룡2 : 새로운 낙원|스윙키즈|안시성|마녀|레슬러|물괴|신과함께-인과 연|독전|번개맨과 신비의 섬|1987|신과함께-죄와 벌|이웃집 스타|대립군|시간위의 집|1급기밀|리얼|조작된 도시|걷기왕|그물|고산자, 대동여지도|부산행|블랙스톤|서부전선|라이브 TV|망원동 인공위성|비치하트애솔|덕수리 5형제|우리는 형제입니다|해적: 바다로 간 산적|피크닉|조선미녀삼총사|더 테러 라이브|미스터 고|R2B: 리턴투베이스|봄, 눈|메이크 유어 무브 |댄싱퀸|원더풀 라디오|투혼|카운트다운|도가니|가문의 영광4 - 가문의 수난|푸른소금|블라인드|모비딕|위험한 상견례|로맨틱 헤븐|나는 아빠다|그대를 사랑합니다|심장이 뛴다|황해|헬로우 고스트|소와 함께 여행하는 법|심야의 F.M.|그랑프리|된장|무서운 이야기 3 '기계령'|무서운 이야기 2 '절벽'"
김정환,,,VFX 아티스트,극장판 콩순이: 장난감나라 대모험|매지컬: 공주를 웃겨라|강철비2: 정상회담|장사리 : 잊혀진 영웅들|뺑반|스윙키즈|안시성|마녀|레슬러|미니특공대X|물괴|신과함께-죄와 벌|7호실|침묵|살인자의 기억법|리얼|조작된 도시|우리 손자 베스트|코인라커|한경직|스타: 빛나는 사랑|불꽃처럼 나비처럼|역도산
김지영,Jeeyoung Kim,Jeeyoung Kim,VFX 아티스트,방법: 재차의|남산의 부장들|천문: 하늘에 묻는다|백두산|롱 리브 더 킹: 목포 영웅|지푸라기라도 잡고 싶은 짐승들|완벽한 타인|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군|리얼|조작된 도시|가려진 시간|다른 길이 있다|서부전선|극비수사|오늘의 연애|덕수리 5형제|맨홀|해적: 바다로 간 산적|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|명량|무명인|내 아내의 모든 것|두레소리|건축학개론|코리아|부러진 화살|퍼펙트 게임|7광구|돌아오는 길|청춘그루브|어린 신부|해피버스데이
임재현,,,조명팀,장르만 로맨스|가장 보통의 연애|타짜: 원 아이드 잭|엑시트|기생충|어린 의뢰인|신과함께-인과 연|신과함께-죄와 벌|임금님의 사건수첩|원라인
김유진,,,연출팀,니나 내나|기생충|나의 특별한 형제|기묘한 가족|환절기|신과함께-인과 연|신과함께-죄와 벌|악녀
서정수,,,액션/스턴트팀,여고괴담 여섯번째 이야기 : 모교|미션 파서블|담보|양자물리학|장사리 : 잊혀진 영웅들|기도하는 남자|창궐|안시성|신과함께-죄와 벌|침묵|택시운전사|특별시민|머니백|1급기밀|리얼|비정규직 특수요원|공조|대역전|시간이탈자|히말라야|위험한 상견례 2|개: dog eat dog|살인의뢰|국제시장|해적: 바다로 간 산적|표적|역린|끝까지 간다|수상한 그녀|용의자|캐치미|더 파이브|응징자|스파이|미나문방구|런닝맨|네모난원|26년|나는 왕이로소이다|시체가 돌아왔다|퀵|고지전|헤드|위험한 상견례|이층의 악당|포화속으로|집 나온 남자들|육혈포 강도단|나쁜 놈이 더 잘 잔다|의형제|시크릿|백야행|영화는 영화다|펀치레이디|구타유발자들|호로비츠를 위하여|청춘만화|미스터 소크라테스|형사 Duelist|주홍글씨|돈 텔 파파|중독|보스 상륙 작전(Boss X File)|천사몽|치킨게임
박혜미,,,VFX 아티스트,백두산|봉오동 전투|사자|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군|리얼|조작된 도시
최승준,CHOI Seung-jun,CHOI Seung-jun,VFX 아티스트,모가디슈|백두산|봉오동 전투|사자|PMC: 더 벙커|신과함께-인과 연|신과함께-죄와 벌|대립군|리얼|서부전선|해적: 바다로 간 산적|피크닉|미스터 고|점박이:한반도의 공룡3D|가필드 펫 포스 3D|가필드-마법의 샘물
윤대원,YOON Dae-won,YOON Dae-won,특수효과,"싱크홀|CCTV|빛나는 순간|비와 당신의 이야기|소리꾼|해치지않아|신의 한 수: 귀수편|82년생 김지영|두번할까요|롱 리브 더 킹: 목포 영웅|유정 - 스며들다|극한직업|PMC: 더 벙커|창궐|안시성|상류사회|탐정: 리턴즈|리틀 포레스트|마약왕|살아남은 아이|신과함께-인과 연|신과함께-죄와 벌|메소드|범죄도시|아이 캔 스피크|귀향, 끝나지 않은 이야기|용순|특별시민|루시드 드림|스플릿|밀정|그랜드파더|봉이 김선달|사냥|폭력의 법칙: 나쁜 피 두 번째 이야기|럭키|시간이탈자|날, 보러와요|널 기다리며|귀향|로봇, 소리|나를 잊지 말아요|내부자들|그놈이다|성난 변호사|간신|악의 연대기|순수의 시대|라이브 TV|성실한 나라의 앨리스|소셜포비아|오늘의 연애|상의원|빅매치|제보자|두근두근 내 인생|터널 3D|피해자들|경주|우는 남자|도희야|야간비행|명량|한공주|열한시|밤의 여왕|더 테러 라이브|은밀하게 위대하게|좋은 친구들 |남자사용설명서|타워|나의 PS 파트너 |백야|늑대소년|광해, 왕이 된 남자|공모자들|내 아내의 모든 것|시체가 돌아왔다|콩가네|코리아|페이스메이커|원더풀 라디오|티끌모아 로맨스|챔프|7광구|풍산개|수상한 고객들|청춘그루브|김종욱 찾기|나탈리|살인의 강|방가? 방가!|무적자|폐가|고死 두 번째 이야기: 교생실습|하녀|베스트셀러|집 나온 남자들|육혈포 강도단|웨딩드레스|구르믈 버서난 달처럼|이웃집 남자|평행이론|하모니|시크릿|홍길동의 후예|백야행|부산|정승필 실종사건|헬로우 마이 러브|불꽃처럼 나비처럼|내 사랑 내 곁에|요가학원|불신지옥|국가대표|해운대|여고괴담 5|거북이 달린다|인사동 스캔들|슬픔보다 더 슬픈 이야기|탈주|김씨표류기|달콤한 거짓말|1724 기방난동사건|이리|멋진 하루|당신이 잠든 사이에|님은 먼 곳에|흑심모녀|가루지기|비스티 보이즈|지금, 이대로가 좋아요|대한이, 민국씨|6년째 연애중|슈퍼맨이었던 사나이|무방비도시|헨젤과 그레텔|내 사랑|싸움|펀치레이디|궁녀|즐거운 인생|지금 사랑하는 사람과 살고 있습니까?|별빛 속으로|꽃미남 연쇄 테러 사건|황진이|밀양|극락도 살인사건|언니가 간다|해바라기|예의없는 것들|오로라 공주|치킨게임|너를 봤어|무서운 이야기 '앰뷸런스'"
박재현,Park Jae-hyun,Park Jae-hyun,미술/프로덕션 디자인,"소리꾼|사라진 시간|결백|나를 찾아줘|첫잔처럼|악몽|미스터 주: 사라진 VIP|나의 특별한 형제|인랑|마녀|마약왕|신과함께-인과 연|신 전래동화|신과함께-죄와 벌|머니백|조작된 도시|사랑받지 못한 여자|판도라|인천상륙작전|시간이탈자|카트|해적: 바다로 간 산적|황제를 위하여|살인자|소원|미스체인지|뜨거운 안녕|고스톱 살인|마이 라띠마|미나문방구|사이코메트리|분노의 윤리학|전망 좋은 집|코리아|줄탁동시|범죄와의 전쟁: 나쁜놈들 전성시대|스파이 파파|모비딕|여의도|페스티발|이파네마 소년|악마를 보았다|그림자 살인|작전|김씨표류기|하늘을 걷는 소년|좋은 놈, 나쁜 놈, 이상한 놈 |GP 506|구타유발자들|6월의 일기|썸|황산벌|스캔들-조선남녀상열지사|킬러들의 수다|메모리즈|자각몽|E.D. 571|청출어람|진실을 위하여|1000만"
정지형,,,VFX 슈퍼바이저,모가디슈|반도|백두산|봉오동 전투|기생충|사자|PMC: 더 벙커|신과함께-인과 연|독전|신과함께-죄와 벌|대립군|서부전선|해적: 바다로 간 산적|피크닉|미스터 고
김기태,KIM Ki-tae,KIM Ki-tae,배우,반도|침입자|백두산|시동|봉오동 전투|명당|인랑|신과함께-인과 연|1987|신과함께-죄와 벌|해무(海霧)|미인도
조민근,,,VFX 아티스트,백두산|PMC: 더 벙커|신과함께-인과 연|1987|신과함께-죄와 벌
윤종석,YOON Jong-seok,YOON Jong-seok,감독,자백|신과함께-인과 연|신과함께-죄와 벌|증거불충분|마린보이
서민지,,,온라인마케팅,"검객|오케이 마담|감쪽같은 그녀|사자|항거:유관순 이야기|성난황소|레슬러|신과함께-죄와 벌|반드시 잡는다|7호실|아이 캔 스피크|밀정|최악의 하루|춘희막이|협녀, 칼의 기억|레디액션 청춘"
김호성,KIM Ho-sung,KIM Ho-sung,제작,"신과함께-인과 연|신과함께-죄와 벌|대립군|곡성|광해, 왕이 된 남자|플레이|인플루언스|국가대표|마린보이|싸이렌"
이정욱,,,대사,방법: 재차의|더 박스|이웃사촌|다만 악에서 구하소서|#살아있다|백두산|82년생 김지영|가장 보통의 연애|나랏말싸미|기생충|지푸라기라도 잡고 싶은 짐승들|사바하|PMC: 더 벙커|스윙키즈|국가부도의 날|명당|인랑|레슬러|썬키스 패밀리|밤치기|너의 결혼식|신과함께-인과 연|챔피언|흥부: 글로 세상을 바꾼 자|골든슬럼버|염력|신과함께-죄와 벌|꾼|미옥|대장 김창수|남한산성|택시운전사|박열|특별시민|마스터|판도라|스플릿|밀정|터널|궁합|역모-반란의 시대
강길우,KANG Gil-woo,KANG Gil-woo,배우,"식물카페, 온정|더스트맨|정말 먼 곳|마음 울적한 날엔|온 세상이 하얗다|파도를 걷는 소년|한강에게|스윙키즈|비밥바룰라|신과함께-죄와 벌|추운겨울에도 빛이 있다.|살아짐이 사라짐|블루시티서울|사는게 먼지|나는 사람 때문에 울어본 적이 없다|스네일 맨|마이 리틀 텔레비전|기대주|안전거리|시체들의 아침|명태"
예수정,YE Soo-jung,YE Soo-jung,배우,"사일런스(가제)|간호중|새해전야|69세|침입자|82년생 김지영|어게인|말모이|행복의 나라|허스토리|염력|신과함께-죄와 벌|부산행:익스텐디드|죽여주는 여자|터널|부산행|사냥|우리 연애의 이력|비밀은 없다|공백의 얼굴들|해무(海霧)|인간중독|안녕, 투이|도둑들|해로 (偕老)|의뢰인|조선명탐정 : 각시투구꽃의 비밀|시크릿|백야행|잘 알지도 못하면서|그녀들의 방|궁녀|기담|황진이|내 청춘에게 고함|신성일의 행방불명|지구를 지켜라|러브레따|분장실|보고싶다"
박종민,,,예고편,인질|모가디슈|괴기맨숀|발신제한|담보|디바|자산어보|다만 악에서 구하소서|강철비2: 정상회담|결백|시동|감쪽같은 그녀|나를 찾아줘|블랙머니|82년생 김지영|나랏말싸미|기생충|왓칭|사자|악질경찰|항거:유관순 이야기|극한직업|말모이|스윙키즈|인랑|7년의 밤|리틀 포레스트|공작|신과함께-인과 연|독전|1987|신과함께-죄와 벌|7호실|미옥|침묵|대장 김창수|아이 캔 스피크|시인의 사랑|브이아이피|택시운전사|박열|석조저택 살인사건|특별시민|어느날|보통사람|해빙|재심|아수라|밀정|올레|아가씨|미씽: 사라진 여자|남과 여|순정|동주|검사외전|나를 잊지 말아요|조선마술사|대호|미안해 사랑해 고마워|서부전선|쓰리 썸머 나잇|손님|경성학교: 사라진 소녀들|무뢰한|쎄시봉|더 테너 리리코 스핀토|맨홀|마담 뺑덕|좋은 친구들|도희야|소수의견|군도: 민란의 시대|방황하는 칼날|몬스터|피끓는 청춘|남자가 사랑할 때|친구 2|설국열차|공범|타워|이웃사람|호우시절|외톨이
장찬우,JANG Chan-woo,JANG Chan-woo,폴리,"낫아웃|어른들은 몰라요|스트레스 제로|극장판 미니특공대: 햄버거괴물의 습격|해치지않아|나를 찾아줘|어린 의뢰인|호흡|메기|다시, 봄|막다른 골목의 추억|우상|극한직업|내안의 그놈|해피 투게더|레슬러|밤치기|골든슬럼버|흥부: 글로 세상을 바꾼 자|염력|신과함께-죄와 벌|꾼|미옥|대장 김창수|남한산성|택시운전사|박열|특별시민|마스터|판도라|스플릿|밀정|터널|부산행|궁합|역모-반란의 시대|비밀은 없다|해어화|순정|로봇, 소리|오빠생각|검은 사제들|탐정 : 더 비기닝|은밀한 유혹|사도|상의원|우리는 형제입니다|타짜-신의 손|두근두근 내 인생|해무(海霧)|좋은 친구들|명량|하이힐|수상한 그녀|플랜맨|변호인|톱스타|관상|우리들의 헤어진 여자친구|감기|감시자들|여배우는 너무해|런닝맨|사이코메트리|강철대오:구국의 철가방|듀엣|백프로|바비|철암 계곡의 혈투"
최두영,,,그립,검객|#살아있다|가장 보통의 연애|양자물리학|기도하는 남자|생일|우상|PMC: 더 벙커|신과함께-인과 연|신과함께-죄와 벌
한시헌,,,대사,"프랑스여자|유령선|얼굴없는 보스|버티고|돌멩이|삽질|그날, 바다|변산|호랑이보다 무서운 겨울손님|신과함께-죄와 벌"
