0,1,2,3,4
마현,,,연출팀,"국제수사|히트맨|천문: 하늘에 묻는다|안시성|마녀|신과함께-인과 연|챔피언|살인소설|신과함께-죄와 벌|채비|프리즌|님아, 그 강을 건너지 마오|시바, 인생을 던져|반신반의"
정경재,Chung Kyoung Jae,Chung Kyoung Jae,투자,모가디슈|아이|기적|삼진그룹 영어토익반|피원에이치 : 새로운 세계의 시작 |강철비2: 정상회담|#살아있다|프랑스여자|히트맨|천문: 하늘에 묻는다|82년생 김지영|타짜: 원 아이드 잭|우리집|어린 의뢰인|물의 기억|사자|뷰티플 마인드|항거:유관순 이야기|증인|말모이|완벽한 타인|배반의 장미|상류사회|여중생A|레슬러|샘|물괴|신과함께-인과 연|지금 만나러 갑니다|흥부: 글로 세상을 바꾼 자|신과함께-죄와 벌|7호실|넛잡 2|아이 캔 스피크|청년경찰|용순|해빙|보안관
이경진,,,VFX 매니지먼트,보이스|새해전야|기생충|신과함께-인과 연|신과함께-죄와 벌|대장 김창수|판도라|대호|연평해전|조선명탐정 : 사라진 놉의 딸|해적: 바다로 간 산적|미스터 고
김유나,,,VFX 아티스트,보이스|모가디슈|반도|소리꾼|천문: 하늘에 묻는다|신비아파트 극장판 하늘도깨비 대 요르문간드|백두산|우리를 갈라놓는 것들|봉오동 전투|사자|PMC: 더 벙커|신과함께-인과 연|독전|1987|신과함께-죄와 벌|서부전선|해적: 바다로 간 산적
박영무,YINGWU,YINGWU,특수분장,"인질|모가디슈|방법: 재차의|오! 문희|반도|서복|다만 악에서 구하소서|#살아있다|백두산|봉오동 전투|기생충|악인전|클로젯|악질경찰|돈|우상|사바하|뺑반|극한직업|말모이|PMC: 더 벙커|성난황소|명당|협상|안시성|상류사회|인랑|마녀|7년의 밤|마약왕|암수살인|물괴|공작|신과함께-인과 연|독전|치즈인더트랩|골든슬럼버|조선명탐정: 흡혈괴마의 비밀|염력|그것만이 내 세상|1987|신과함께-죄와 벌|강철비|미옥|대장 김창수|브이아이피|택시운전사|군함도|하루|대립군|석조저택 살인사건|살인자의 기억법|불한당: 나쁜 놈들의 세상|보안관|임금님의 사건수첩|조작된 도시|마스터|목숨 건 연애|판도라|아수라|밀정|터널|덕혜옹주|부산행|아가씨|곡성|탐정 홍길동: 사라진 마을|미씽: 사라진 여자|비밀은 없다|해어화|검사외전|로봇, 소리|오빠생각|대호|히말라야|내부자들|검은 사제들|암살|간신|경성학교: 사라진 소녀들|살인의뢰|조선명탐정 : 사라진 놉의 딸|강남 1970|허삼관|마담 뺑덕"
김수완,,,VFX 아티스트,인질|아이|PMC: 더 벙커|신과함께-인과 연|독전|신과함께-죄와 벌|대립군|조작된 도시|올레|여교사|더 폰|간신|무서운 이야기 3 : 화성에서 온 소녀|무서운 이야기 3 '여우골'
이창민,,,온라인마케팅,"모가디슈|아이|기적|죽지않는 인간들의 밤|오케이 마담|#살아있다|프랑스여자|천문: 하늘에 묻는다|감쪽같은 그녀|윤희에게|레슬러|신과함께-죄와 벌|반드시 잡는다|7호실|아이 캔 스피크|로마의 휴일|수색역|널 기다리며|협녀, 칼의 기억|위험한 상견례 2|봄|춘하추동 로맨스|레드카펫|만신|우리별 일호와 얼룩소|들개들|살인자|창수|응징자|아티스트 봉만대|꼭두각시|돈 크라이 마미|돈의 맛|내 사랑 내 곁에|흑심모녀|상사부일체|꽃미남 연쇄 테러 사건|내츄럴시티|무서운 이야기 3 : 화성에서 온 소녀|황금시대"
이학송,LEE Hak-song,LEE Hak-song,촬영장비,"방법: 재차의|비와 당신의 이야기|서복|남산의 부장들|히트맨|백두산|퍼펙트맨|양자물리학|유열의 음악앨범|롱 리브 더 킹: 목포 영웅|기생충|사자|걸캅스|뺑반|PMC: 더 벙커|국가부도의 날|출국|완벽한 타인|창궐|명당|안시성|인랑|버닝|레슬러|리틀 포레스트|마약왕|공작|신과함께-인과 연|독전|염력|신과함께-죄와 벌|강철비|남한산성|범죄도시|브이아이피|하루|보통사람|살인자의 기억법|루시드 드림|조작된 도시|공조|마스터|아수라|고산자, 대동여지도|밀정|아가씨|곡성|대역전|비밀은 없다|검사외전|로봇, 소리|조선마술사|대호|성난 변호사|협녀, 칼의 기억|암살|악의 연대기|순수의 시대|덫: 치명적인 유혹|나의 절친 악당들|무뢰한|살인의뢰|쎄시봉|허삼관|더 테너 리리코 스핀토|국제시장|타짜-신의 손|해무(海霧)|좋은 친구들|신의 한 수|우는 남자|하이힐|무명인|수상한 그녀|남자가 사랑할 때|플랜맨|용의자|집으로 가는 길|화이: 괴물을 삼킨 아이|관상|감기|숨바꼭질|미스터 고|뜨거운 안녕|고령화 가족|마이 라띠마|신세계|베를린|박수건달|마이 리틀 히어로|자칼이 온다|늑대소년|용의자X|간첩|R2B: 리턴투베이스|바람과 함께 사라지다|도둑들|미쓰GO|화차|페이스메이커|댄싱퀸|마이 웨이|오직 그대만|화이트: 저주의 멜로디|수상한 고객들|위험한 상견례|숨|평양성|심장이 뛴다|헬로우 고스트|쩨쩨한 로맨스|초능력자|부당거래|해결사|악마를 보았다|마음이2|내 남자의 순이|하녀|죽이고 싶은|구르믈 버서난 달처럼|주유소 습격사건 2|전우치|걸프렌즈|여배우들|파주|마더|바다 쪽으로, 한 뼘 더|우리 집에 왜 왔니|그림자 살인|차우|박쥐|서양 골동 양과자점 앤티크|눈에는 눈 이에는 이|무림여대생|색즉시공 시즌2|바르게 살자|죽어도 해피엔딩|리턴|쏜다|1번가의 기적|언니가 간다|조용한 세상|싸이보그지만 괜찮아|뚝방전설|신데렐라|다세포소녀|구타유발자들|공필두|음란서생|백만장자의 첫사랑|야수|친절한 금자씨|남극일기|엄마|아홉살 인생|낭만자객|올드보이|하늘정원|반신반의|격세지감|쓰리 몬스터"
김태섭,,,VFX 슈퍼바이저,모가디슈|반도|백두산|봉오동 전투|기생충|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|신과함께-인과 연|독전|신과함께-죄와 벌|리얼|서부전선|해적: 바다로 간 산적|미스터 고|점박이:한반도의 공룡3D
김자남,Kim Ja-Nam,Kim Ja-Nam,DI팀,"모가디슈|이웃사촌|서복|다만 악에서 구하소서|결백|침입자|남산의 부장들|해치지않아|백두산|시동|나를 찾아줘|82년생 김지영|퍼펙트맨|힘을 내요, 미스터 리|나쁜 녀석들: 더 무비|유열의 음악앨범|봉오동 전투|엑시트|나랏말싸미|귀신의 향기|비스트|기생충|돌멩이|지푸라기라도 잡고 싶은 짐승들|나의 특별한 형제|악질경찰|돈|어쩌다, 결혼|기묘한 가족|뺑반|말모이|PMC: 더 벙커|스윙키즈|1991, 봄|완벽한 타인|명당|안시성|행복의 나라|마녀|탐정: 리턴즈|버닝|레슬러|당신의 부탁|리틀 포레스트|환절기|신과함께-인과 연|나와 봄날의 약속|독전|골든슬럼버|조선명탐정: 흡혈괴마의 비밀|염력|1987|신과함께-죄와 벌|기억의 밤|7호실|미옥|침묵|대장 김창수|범죄도시|남한산성|브이아이피|하루|대립군|특별시민|살인자의 기억법|더 테이블|리얼|불한당: 나쁜 놈들의 세상|프리즌|눈발|싱글라이더|조작된 도시|당신, 거기 있어줄래요|스플릿|혼숨|밀정|범죄의 여왕|카이: 거울 호수의 전설|터널|국가대표 2|인천상륙작전|부산행|곡성|궁합|미씽: 사라진 여자|럭키|나는 증인이다|비밀은 없다|오빠생각|검은 사제들|봄|역린|용의자|배심원들"
