,ratings,comments
94,10,초반30분별로였지만 코믹에 완전 끝까지 재미있네요?
95,10,
96,10,
97,9,
98,10,볼 때마다 재밌네요. ㅋㅋ
99,10,웃었다 많이
100,10,배꼽잡고 웃었다 ㅋ ㅋㅋㅋㅋㅋ
101,10,배우들이 재미있네요. 웃으면서 보네요 ㅎㅎ
102,10,가장 한국적인게 가장 예술적이다.  통닭도 영화도 ㅋㅋ
103,8,
104,10,
105,10,지금 TV로 보는데 재밌어요~^^
106,8,영화는재미잇는데안보는게나아요이럴거면보지말던가요 진짜로
107,10,재미있게 봤어요~ TV에서 해도 재밌어요~
108,10,지금까지 이런통닭은 없었다 이것은 갈비인가 통닭인가
109,10,존잼
110,8,따지려고 보는 영화는 아니다. 그냥 어떻게 이렇게 신박하게 웃길 수 있지? 하면서 계속 웃으면서 보면 된다. 그냥 진짜 웃기려고 만든 영화다.
111,8,억하심정
112,6,잘보긴 했는데.... 예고편 편집이 더 재미있었네요.
113,8,재희란 인간땜에 별로.
114,10,2500원주고 재미있게 봤습니다^^
115,10,요근래 최고로 재밋는 영화
116,9,
117,8,.
118,10,잼나다~~
119,8,
120,7,좀 유치하긴 해도 그냥 할 것 없을 때 볼만은 하겠어요...
121,9,
122,8,유치할줄 알고 안보다가 최근에 봤는데 막판에 좀 유치한거 빼곤 중간 중간 재치있게 전개되고 연기자들 연기도 좋았다 이 정도 흥행할 영화는 아닐지 몰라도 생각보다 재미 있었다 
123,6,"개연성 떨어지는 스토리였지만, 코믹 영화의 본질은 놓치지 않았다. 후반부에 약간 재미가 떨어져서 아쉽지만 개성넘친 캐릭터들의 웃음코드는 굿"
124,10,넘 잼나서 끝나는게 아쉬웠어요. 다들 연기 잘하심.
125,9,굿
126,8,1000만 까진 아니어도 이정도면 수작이징
127,6,
128,10,완젼 잼있어요!!!! 배꼽잡고 웃기를 몇번했던지...ㅋㅋㅋㅋ 최고!!!!!!!!!!!!!!!!!!!!
129,10,굳
130,6,
131,9,
132,10,
133,10,
134,10,
135,10,소소한 개그가 있지만 1000만 영화는 아니라고 본다
136,10,
137,8,
