title,genre,synopsis,note
명량,"사극,액션","1597년 임진왜란 6년,
오랜 전쟁으로 인해 혼란이 극에 달한 조선.
무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자
누명을 쓰고 파면 당했던 이순신 장군(최민식)이 삼도수군통제사로 재임명된다.

하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성,
그리고 12척의 배 뿐.
마지막 희망이었던 거북선마저 불타고
잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마(류승룡)가 왜군 수장으로 나서자 조선은 더욱 술렁인다.

330척에 달하는 왜군의 배가 속속 집결하고
압도적인 수의 열세에 모두가 패배를 직감하는 순간,
이순신 장군은 단 12척의 배를 이끌고 명량 바다를 향해 나서는데…!

12척의 조선 vs 330척의 왜군
역사를 바꾼 위대한 전쟁이 시작된다!"," “신에게는 아직 12척의 배가 남아 있습니다”
 
 330척 왜군에 맞선 12척 조선
 역사를 바꾼 가장 위대한 전쟁 ‘명량대첩’
 2014년 여름, 스크린에서 되살아난다!
 
 임진왜란 6년, 조선에 일격을 가하기 위해 일본은 330척의 배를 이끌고 조선의 바다에 집결한다. 이들에게 대항할 조선의 배는 단 12척. 시작부터 승패가 정해진 이 전쟁은 단 8시간 만에 막을 내린다. 왜군의 사망자는 헤아릴 수 없었으나, 조선은 단 한 척의 피해도 입지 않았던 완전 무결한 승리. 이 기적 같은 승리를 통해 조선은 일본에 빼앗긴 해상권을 되찾고, 일본의 한양 함락과 조선 정복의 계획은 수포로 돌아갔다. 전세계 역사상 손에 꼽히는 드라마틱한 전투이자, 조선의 역사를 바꾼 가장 위대한 전쟁 ‘명량대첩’이 2014년 스크린에서 되살아난다.
 
 영화 <명량>은 1597년, 단 12척의 배로 330척 왜군의 공격에 맞서 싸운 이순신 장군의 '명량대첩'을 그린 전쟁액션대작이다. 이순신 장군의 대표적 전투 중 거북선 없이 출전해 큰 승리를 거둔 전쟁으로 어떻게 12척의 배로 330척의 대군을 물리칠 수 있었는지 현재까지도 그 전술과 과정에 대한 기록이 분분한 ‘명량대첩’을 최초로 영화화 한 <명량>은 역사적 사실을 기반으로 영화적 상상력과 전쟁의 스펙터클한 볼거리가 더해져 한국 영화에 없었던 새로운 해상 전투극으로 완성되었다. 풍전등화의 조선, 모두가 패배를 예견할 때 홀로 왜군에 맞선 이순신 장군의 숨겨진 이야기는 대한민국 국민이라면 누구나 공감할 수 있는 감동을 전하고, 지형과 환경, 심리전을 바탕으로 열세의 전쟁을 극복해 나가는 8시간의 긴박감 넘치는 전투는 그 자체로 드라마틱한 스토리가 되어 전율과 쾌감을 선사한다. 짜릿한 활의 전쟁으로 747만 명의 관객을 매료시켰던 <최종병기 활> 김한민 감독에 의해 2014년 스크린에서 새롭게 탄생한 위대한 전쟁 <명량>은 뜨거운 감동과 울림, 그리고 스펙터클한 볼거리가 살아 숨쉬는 영화로 올 여름, 대한민국의 가슴을 뛰게 할 것이다. "
극한직업,코미디,"낮에는 치킨장사! 밤에는 잠복근무!
지금까지 이런 수사는 없었다!

불철주야 달리고 구르지만 실적은 바닥, 급기야 해체 위기를 맞는 마약반!
더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고 장형사, 마형사, 영호, 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다.
마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고, 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다.
수사는 뒷전, 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데…

범인을 잡을 것인가, 닭을 잡을 것인가!
2019년 새해, 출동!","HOT ISSUE 01
 
 지금까지 이런 ‘영화’는 없었다!
 
 신선도 100%! 중독성 갑!
 2019년 설 극장가를 접수할 웃음 바이러스
 <스물> 이병헌 감독이 선사하는 코미디의 진수가 온다!
 
 <스물>을 통해 전매특허 말맛 코미디로 300만 관객을 동원하며 흥행성을 입증한 이병헌 감독이 특유의 촌철살인 대사에 마약치킨 위장창업 수사라는 기발한 소재와 설정까지 더한 코믹 수사극 <극한직업>으로 돌아온다. <극한직업>은 해체 위기의 마약반 5인방이 범죄조직 소탕을 위해 위장창업한 ‘마약치킨’이 일약 맛집으로 입소문을 타게 되면서 벌어지는 이야기를 그린 영화.
 
 <과속스캔들><써니><타짜- 신의손>의 각색을 거쳐 <힘내세요, 병헌씨><스물><바람바람바람> 등의 작품을 연출하며 코미디의 연금술사로 각광받은 이병헌 감독은 “웃음은 삶에 위안을 준다”는 모토로 누구나 편하게 웃을 수 있는 영화 한 편을 관객들에게 선보이고 싶다는 바람을 담아 <극한직업>을 연출했다. “독특하고 기상천외한 이야기이면서도 어딘가 있을 법한 공감을 불러일으키는 이야기”(류승룡), “시종일관 하하하 웃을 수 있는 장면으로 가득한 시나리오”(이하늬), “이병헌 감독만의 스타일이 살아있는 코미디 언어”(진선규) 등 이구동성 입을 모아 극찬한 <극한직업>의 시나리오는 해체 위기의 마약반 형사 5인방이 낮에는 치킨장사, 밤에는 잠복근무로 이중고에 시달리며 수사에 나서는 기상천외한 위장창업기를 담아냈다. “조직 안에서 거침없이 잘 나가기만 하는 사람은 현실에서 찾아보기 힘들지 않나. 그러나 평범한 소시민도 누구나 자기 안에 숨은 능력을 가지고 있고 그것이 빛을 발하는 순간이 있다고 생각한다”고 전한 이병헌 감독은 인물들의 변화를 통해 수사물 장르에서 지금껏 보지 못한 새로운 쾌감을 느낄 수 있을 것이라고 예고했다.
 
 웃음과 액션, 수사는 물론, 서민들의 애환까지 버라이어티한 매력 요소를 담아낸 <극한직업>은 극장가에서 오랜만에 볼 수 있는 정통 코미디 영화. 쉴 새 없이 터지는 코믹 에피소드와 개성 넘치는 캐릭터, 촌철살인 대사의 향연이 펼쳐지는 <극한직업>"
신과함께-죄와 벌," 판타지, 드라마 ","저승 법에 의하면, 모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다.
살인, 나태, 거짓, 불의, 배신, 폭력, 천륜
7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다.

“김자홍 씨께선, 오늘 예정 대로 무사히 사망하셨습니다”
화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍, 그의 앞에 저승차사 해원맥과 덕춘이 나타난다. 자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다. 저승으로 가는 입구, 초군문에서 그를 기다리는 또 한 명의 차사 강림, 그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7번의 재판에서 변호를 맡아줄 변호사이기도 하다. 염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들, 그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만, 각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데…

누구나 가지만 아무도 본 적 없는 곳,
2017년 새로운 세계의 문이 열린다!"," 상.상.초.월 神세계!
 본 적 없고, 볼 수도 없는 저승 세계가 눈 앞에 펼쳐진다!
 
 누구나 가지만, 아무도 본 적 없는 세계가 오는 12월 스크린에 펼쳐진다. 동명의 웹툰을 스크린에 옮긴 영화 <신과함께>는 인간은 죽음 후 저승에서 각기 다른 지옥을 경험한다는 한국적 사후 세계관을 기반으로 하고 있다. 영화는 한국적 세계관을 바탕으로 사후 49일 동안 7번의 지옥 재판을 무사히 거쳐야만 환생할 수 있다는 전제로 이야기를 확장시켰다. 인간은 저승에서 끝이 아니라 새로운 삶을 시작하게 되는 것이다. 화재 현장에서 죽음을 맞이한 소방관 ‘자홍’은 저승에서 치뤄야 하는 7번의 재판 동안 그를 변호하고 호위하는 삼차사 ‘강림’, ‘해원맥’, ‘덕춘’을 만나 이 모든 과정을 겪게 된다. 살인, 나태, 거짓, 불의, 배신, 폭력, 천륜 7개의 지옥 재판을 통해 사는 동안 그가 지은 크고 작은 죄들을 알아가는 ‘자홍’의 여정을 따라가다 보면 그를 응원하는 것은 물론 관객 모두가 자신의 삶을 되짚어 보는 진기한 경험을 하게 된다. 모든 인간이 겪는 죽음과 삶, 그 경계에서 인간의 삶을 관통하는 희로애락을 다시금 떠올리고, 자홍의 이야기에 우리 자신을 투영하게 되는 것이다. ‘자홍’이 주는 공감과 더불어 삼차사의 활약은 영화에 또 다른 활력을 불어 넣는다. 저승 삼차사들은 49명의 망자를 환생시켜야만 환생을 보장받을 수 있기에 ‘자홍’의 재판에 모든 노력을 쏟아 붓는다. 하지만 숱한 세월 망자를 변호하고 호위했던 그들조차 매 재판에서 만나는 고난과 숙제는 어렵고 그로 인해 시행착오를 겪는다. 또한 자홍의 재판을 어지럽히는 원귀가 출현하면서 차사들은 저승과 이승을 동시에 오가고, 그들이 선보이는 새로운 이야기에 한 시도 눈을 뗄 수 없게 만든다.
 
 한국 고유의 전통 설화에 신선한 상상력을 덧입히고, 매력적인 캐릭터들이 가세한 영화 <신과함께-죄와 벌>. 이승과 저승, 삶과 죽음의 경계를 넘나드는 장대한 이야기를 통해 새로운 차원의 재미와 감동을 선사할 것이다.
 
 
 [ABOUT MOVIE]
 
 웹툰계의 神 스크린으로 환생!"
국제시장,드라마,"덕수(황정민)의 가족은 흥남 철수 때 부산 국제시장에 내려온 피난민이다. 전쟁통에 아버지를 잃은 덕수는 졸지에 어머니와 두 동생의 생계를 책임지게 됐다. 동생의 학비와 생활비를 벌기 위해 자신의 꿈을 버린 채 친구 달구(오달수)와 함께 서독의 탄광으로, 베트남전으로 뛰어들어야 했던 덕수. 덕분에 사랑하는 아내 영자(김윤진)를 만날 수 있었고, 토끼 같은 자식들을 대학에 보낼 수 있었지만, 그의 인생에서 '그'는 한번도 없었다.","[HOT ISSUE 1]
 “<국제시장>은 가족을 위해 평생을 살아온 우리 시대 아버지들을 위한 영화”
 1,145만 관객 동원한 <해운대> 윤제균 감독,
 5년 만의 복귀작으로 선보이는 작품!
 
 대한민국 최초의 휴먼 재난영화 <해운대>로 1,145만 명의 관객을 동원하며 전 국민에게 뜨거운 감동과 웃음을 선사했던 윤제균 감독이 5년 만에 <국제시장>으로 돌아온다. 관객들에게 웃음과 감동을 전하는 휴머니스트로 독보적인 존재감을 과시해온 윤제균 감독은 오직 가족을 위해서 굳세게 살아온 우리들의 아버지 이야기를 다룬 <국제시장>을 복귀작으로 선택했다. 윤제균 감독은 <국제시장>에 대해 “영화를 시작하면서부터 언젠가는 꼭 해야겠다고 다짐한 이야기다. 가난하고 힘들었던 그 시절, 당신이 아니라 가족을 위해 평생을 살아 온 아버지를 바라보며 늘 죄송한 마음이었다. 우리 할아버지, 할머니 그리고 아버지, 어머니 세대에 고마운 마음을 전하고자 만든 영화”라고 기획 의도를 밝혔다. “관객들이 <국제시장>을 보고 왜 이 영화를 만들었는지 그 진심을 알아주면 좋겠다. 개인적인 이야기에서 출발했지만 부모와 자식의 입장에서 우리 모두의 이야기이기도 하다”며 <국제시장>을 통해 관객들과 함께 공감하고 싶은 마음을 내비쳤다.
 
 <국제시장>은 ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절, 오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기를 그려낸 작품. 윤제균 감독은 영화의 타이틀이기도 하면서 주요 배경이 되는 장소로 ‘국제시장’을 선택한 이유에 대해 밝혔다. 그는 “우리 부모님 세대에 대한 헌사에 알맞은 공간을 고민하다가, 과거 피란민들의 삶의 터전이자 현재까지 서민들이 서로 부대끼며 살아가면서 일상의 소박한 꿈과 희망이 움트는 공간이기도 한 부산 국제시장을 배경으로 하게 되었다”고 전하며 가장 평범한 아버지의 삶을 통해 가장 위대한 이야기를 담고 싶었기 때문에 눈부신 발전과 함께 빠르게 발전하는 지금 시대에 조금은 천천히 느린 걸음으로 변해가는 ‘시장’을 배경으로 그려냈다고 설명을 더했다.
 
 한편, “이 시대를 치열하게 살아온 부모님 세대의 이야기를 통해 오늘을 살아가는 우리들의 삶을 재조명하는 계기가 되었으면 좋겠다”고 밝힌 윤제균 감독은 <국제시장>에서 1950년대부터 현재에 이르기까지 역사적 사건과 인물들이 살아온 격변의 시대를 주인공 ‘덕수’의 인생을 통해 생생하게 그려냈다. <국제시장> 제작진은 현대사에 기록된 굵직한 사건들을 관통하는 서사 드라마를 재현해내기 위해 각종 인터뷰 자료와 역사 다큐멘터리 등의 연구와 검토를 통해 가장 실제에 가깝게 담아내려고 힘을 기울였다. 이를 위해 부산과 서울은 물론, 태국, 체코에 이르는 3개국 로케이션 촬영이 진행되었으며 스웨덴의 특수분장팀을 비롯, 한국과 일본을 포함한 총 4개의 VFX팀이 투입되는 등 기술적으로도 새로운 시도들이 감행되었다.
 
 
 [HOT ISSUE 2]
 모든 장르를 넘나드는 최강의 연기력!
 진정성의 아이콘 황정민, ‘국민 아버지’로 돌아오다!
 
 매 작품마다 진정성 있는 연기를 선보여온 황정민만의 진가가 <국제시장>을 통해 유감없이 발휘될 예정이다. <너는 내 운명>에서 한 여자만을 향한 순애보를 과시하는 순정남 ‘석중’ 역에서부터 <신세계>의 진한 의리와 냉철한 카리스마를 겸비한 조직의 2인자 ‘정청’ 역까지 모든 장르를 넘나드는 최강의 연기력으로 평단과 관객을 사로잡은 연기파 배우 황정민, 명실공히 ‘믿고 보는 배우’로 자리매김한 그가 <국제시장>을 통해 우리 시대의 아버지 그 자체로 변신했다.
 
 “지금까지 오롯이 아버지로 관통하는 이야기가 거의 없었는데 <국제시장> 같은 영화가 나와줘서 정말 반가웠다”며 작품을 선택하게 된 이유를 전한 황정민은 자신이 연기한 ‘덕수’라는 인물에 대해 “이 땅에서 아버지라는 이름으로 살아가는 모든 사람을 대변하는 캐릭터”라고 전했다. 1950년대부터 현재에 이르기까지 시대를 관통하며 살아온 이 시대의 아버지의 삶을 그려낸 황정민은 혈기왕성한 청년의 모습부터 가족을 책임지는 가장의 모습 그리고 세상 풍파를 지나온 노년의 모습까지 한 작품 안에서 드라마틱한 인물의 변화를 완벽하게 표현해냈다. 20대부터 70대까지 격변의 현대사를 관통하며 살아온 한 남자의 일대기를 소화해낸 그는 “작품을 통해 한 사람의 일생을 연기한 것은 처음이다. 20대부터 40대까지는 이미 경험해보았기 때문에 자신감이 있었지만, 아직 겪어보지 못한 70대를 연기한다는 것은 새로운 도전이었다. 실제 노인의 행동과 말투를 관찰하는 것부터 외면의 변화를 표현하는 것 또한 많은 고민과 연구를 거쳤지만 무엇보다 세월의 풍파를 겪으며 변해가는 ‘덕수’의 내면을 표현해내는 데 집중했다”고 <국제시장>에 임한 소감에 대해 말했다.
 
 시나리오 단계에서부터 ‘덕수’ 역에 황정민을 염두에 두고 작업했다고 밝힌 윤제균 감독은 “이 시대를 살아가는 아버지의 진정성을 표현할 수 있는 배우는 황정민밖에 없다고 생각했다. 촬영 현장에서 눈빛만 봐도 서로가 어떤 것을 원하는지 알 수 있을 정도로 호흡이 잘 맞았다”며 극찬을 아끼지 않았다. 진정성의 아이콘, 황정민을 위한 캐릭터라고 해도 과언이 아닐 국민 아버지 ‘덕수’가 전하는 진한 감동은 <국제시장>에서 확인할 수 있다.
 
 
 [HOT ISSUE 3]
 김윤진, 오달수, 정진영, 장영남, 라미란, 김슬기 등
 대한민국 대표 배우와 스크린 기대주의 최강 앙상블!
 
 <국제시장>은 황정민, 김윤진, 오달수, 정진영, 장영남, 라미란, 김슬기 등 대한민국 대표 배우부터 스크린 기대주까지 탄탄한 연기 내공과 개성을 갖춘 배우들이 환상의 앙상블을 선보인다. 윤제균 감독은 “<국제시장>이라는 영화는 연기 이상으로 배우가 가지고 있는 진정성이 중요하다고 생각했다. ‘덕수’는 물론이거니와, ‘덕수’의 아버지와 어머니, 아내와 친구에 이르기까지 시대를 관통하며 살아온 한 가족을 그려내는 데 있어서 진정성이 캐릭터에 묻어나길 바랐다. 시나리오 쓸 때부터 황정민, 김윤진, 오달수, 정진영, 장영남, 라미란, 김슬기 등 마음 속에 1순위로 꼽았던 배우들과 함께 작업하게 되어서 ‘꽃분이네’ 식구가 잘 꾸려진 것 같다”며 함께 작업한 모든 배우들에 대한 높은 만족감과 애정을 표시하기도 했다.
 
 누군가의 딸이자 아내이자 며느리, 그리고 어머니의 자리를 평생 지켜온 ‘영자’ 역으로 한국은 물론, 할리우드까지 사로잡은 대한민국 대표 여배우 김윤진을 캐스팅한 이유에 대해 윤제균 감독은 “<하모니>를 통해 배우와 제작자로 김윤진을 처음 만났는데, 그녀의 호소력 짙은 연기가 <국제시장>에 필요하다고 생각했고 ‘영자’ 역에 김윤진이 완벽히 부합했다”며 그녀에 대한 신뢰를 전했다. 김윤진 또한 “지금까지와는 차원이 다른 가족영화가 탄생할 것이라는 생각이 들 정도로 시나리오부터 완벽했다. ‘영자’와 ’덕수’가 함께한 에피소드 곳곳에 진정성을 담으려고 노력했다”며 <국제시장>에 대한 자신감을 내비쳤다. <도둑들><7번방의 선물><변호인> 등 대한민국 천만 영화의 얼굴로 빛나는 존재감을 발휘한 오달수가 ‘덕수’의 인생에서 빼놓을 수 없는 둘도 없는 친구 ‘달구’로 환상의 콤비 호흡을 맞춰 <국제시장>의 유쾌한 웃음을 책임진다. 윤제균 감독은 “’달구’의 이름에서 알 수 있듯이 당연히 오달수를 염두에 두고 만든 캐릭터다. 오달수씨가 시나리오를 읽자마자 출연을 결정해줘서 감사했다”며 그에 대한 남다른 애정을 드러내기도 했다. 한편, 영화에서 중요한 키를 쥐고 있는 ‘덕수’의 아버지로 정진영이 합류해 묵직한 카리스마를 과시할 예정이다. 전쟁 통에 남편과 딸을 잃고 남은 자식들을 위해 굳세게 살아가는 ‘덕수’의 어머니로 분한 장영남은 강인하고 깊이 있는 모성애를 그려낸다. 이 외에도 부산으로 피란 온 ‘덕수’의 가족을 따뜻하게 받아준 ‘꽃분이네’ 주인이자 ‘덕수’의 고모 역으로 열연을 펼친 라미란, 철없는 사고뭉치 ‘덕수’의 막내 여동생 ‘끝순’ 역의 김슬기까지 영화, 드라마는 물론 예능 프로그램에서 활약을 펼치고 있는 대세 배우들이 최강의 호흡을 과시하며 관객들에게 유쾌한 웃음은 물론, 뜨거운 공감과 진한 감동을 선사할 것이다.
 
 
 [HOT ISSUE 4]
 <도둑들> 최영환 촬영감독, <괴물> 류성희 미술감독,
 <관상> 이병우 음악감독,
 <명량> 권유진 & 임승희 의상감독,
 한태정 VFX 슈퍼바이저
 대한민국 영화계를 대표하는 스페셜리스트 총출동!
 
 <해운대> 윤제균 감독이 5년 만에 선보이는 <국제시장>은 완벽한 조합을 이룬 캐스팅은 물론, 촬영, 조명, 미술, CG, 의상, 음악에 이르기까지 대한민국 영화계를 대표하는 스페셜리스트들이 총출동해 영화의 완성도를 한층 더 높였다. 윤제균 감독은 “명실상부 대한민국 최고의 스탭들로 구성했다. 고수들이 모여있는 현장이었기 때문에 촬영 내내 긴장감을 놓치지 않고 배우면서 작업할 수 있었던 뜻 깊은 경험이었다”고 최고의 스탭들과 함께 한 소감을 전했다.
 
 먼저, <도둑들><베를린> 등 화려한 경력을 자랑하는 충무로 베테랑 최영환 촬영감독은 “워낙 시나리오 자체가 지닌 힘이 매우 컸다”고 밝히며 “최대한 기교를 배제하고 배우들의 감정선을 충실하게 따라가려고 노력했다”고 전했다. <괴물>의 류성희 미술감독은 <국제시장>이 한국의 현대사를 관통하며 살아온 사람들의 일대기를 그린 작품인 만큼 “역사적, 시대적 고증을 충실하게 반영하면서 사람 사는 모습을 공감가게 그리기 위해 신경을 많이 썼다”고 밝혔다. 또한 <관상>으로 한국영화평론가협회상 음악상을 수상한 대한민국 대표 영화 음악감독이자 <1번가의 기적><해운대>에 이어 <국제시장>을 통해 윤제균 감독과 세 번째 호흡을 맞춘 이병우 음악감독은 “<국제시장>이 가진 기본적인 이야기에 충실하고자 했다. 음악과 스토리가 어우러져 영화음악의 종합선물세트를 느낄 수 있을 것”이라며 자신감을 표했다.
 
 1,760만 명의 관객을 동원하며 대한민국 영화사를 새롭게 쓴 <명량>에 참여한 바 있는 권유진 & 임승희 의상감독은 “시대에 대한 철저한 고증과 함께 세월의 흐름을 반영하는 것은 물론, 의상만으로도 캐릭터의 성격과 삶이 고스란히 드러나도록 했다”며 1950년부터 현재에 이르기까지 시대상을 반영했다고 전했다. 국내 최초로 4개의 VFX팀 연합을 지휘한 한태정 VFX 슈퍼바이저는 “윤제균 감독이 항상 강조했던 ‘튀지 않게, 과장되지 않게, 자연스럽게’를 염두에 두면서 작업에 임했다. 리얼리티를 살리기 위해 사진 자료 고증, 전문가 인터뷰를 적극 활용하는 동시에 세트와 CG의 비율을 조율해나갔다”고 작업 과정을 전했다. 이처럼 <국제시장>은 대한민국의 내로라하는 제작진이 총 출동해 1950년대부터 현재에 이르기까지 대한민국 현대사를 관통하는 서사 드라마를 생생하게 재현해내는 데 심혈을 기울여 관객들에게 보다 풍성한 볼거리를 선사할 예정이다."
어벤져스:엔드게임 ,"액션, SF ","인피니티 워 이후 절반만 살아남은 지구
마지막 희망이 된 어벤져스
먼저 떠난 그들을 위해 모든 것을 걸었다!

위대한 어벤져스
운명을 바꿀 최후의 전쟁이 펼쳐진다!","<어벤져스>시리즈 대망의 마지막 내한 피날레!
 아시아 정킷 행사 대한민국 성황리 개최!
 로버트 다우니 주니어-제레미 레너- 브리 라슨-안소니 루소 & 조 루소 감독
 트린 트랜 프로듀서, 케빈 파이기 마블 스튜디오 대표까지 성공적 내한!
 
 전 세계 최고의 기대작 <어벤져스> 시리즈의 압도적 대미를 장식할 <어벤져스: 엔드게임>이 지난 4월 14일(일)과 15일(월) 양일간 진행된 대한민국 내한 행사를 성공적으로 마무리 지었다. <어벤져스: 엔드게임>의 주역 로버트 다우니 주니어, 제레미 레너, 브리 라슨, 안소니 루소&조 루소 감독, 트린 트랜 프로듀서, 케빈 파이기 마블 스튜디오 대표까지 방문하여 특별한 대한민국 사랑을 뽐냈다. 특히 이번 행사는 월드투어의 일환으로, 대한민국이 아시아 정킷 허브로 선정돼 일본, 인도, 뉴질랜드, 호주, 홍콩, 싱가폴, 말레이시아, 인도네시아, 필리핀, 베트남, 타이완 총 11개 아시아 국가의 기자들이 대한민국을 방문하여 함께 뜨거운 <어벤져스: 엔드게임> 정킷 행사를 함께 즐겼다.
 
 먼저 4월 15일(월) 진행된 아시아 프레스 컨퍼런스를 비롯하여 장충체육관에서 약 4,000여명의 팬들과 함께 진행된 아시아 팬이벤트까지 뜨거운 내한 행사가 성공리에 끝이 났다. 프레스 컨퍼런스에서 프로듀서 트린 트랜은 “여성 히로인들이 이전의 영화에서도 그렇고 이번 <어벤져스: 엔드게임>에서 강하게 자리 잡으며 중요한 역할을 할 것이다. 저희는 항상 그 점을 고려하고 있고 앞으로도 여성 히로인을 계속해서 서포트 할 것”이라며 <어벤져스: 엔드게임>의 새로운 관전 포인트를 꼽기도 했다. 아이언맨 로버트 다우니 주니어는 아시아 팬이벤트 말미 깜짝 재등장해 한국 팬들과 관객들에게 “10년 전에는 저도 어렸고, 여러분들도 어렸다. 이렇게 잘 자라주어서 고맙고 자랑스럽다. 이 말을 하지 않고 갈 수는 없었다”라며 감동 메시지를 전하기도 했다. 흥행 캡틴에 등극한 브리 라슨은 아시아 프레스 컨퍼런스에서 “한국 음식을 계속 먹고 있어서 계속 배가 부른 상태다”라며 재치 있는 답변으로 한국 사랑을 보여주기도 했다. 아시아 팬이벤트에서는 관객들이 선물로 준비한 응원봉 이벤트에 진심으로 감동한 모습을 보이며 눈물 짓기도 해 더욱 한국 팬들과 관객들에게 뭉클한 감동을 전하였다. 어벤져스 원년멤버 호크아이의 제레미 레너도 한국에서의 좋은 기억을 아시아 프레스 컨퍼런스에서 언급했다. “한국의 벚꽃도 아름다웠고, 한국 음식도 먹었다. 특히 소주가 맛있었다”라며 유쾌한 답변을 전하기도 하였다. "
