0,1,2,3,4
브리 라슨,Brie Larson,Brie Larson,배우,어벤져스: 엔드게임|캡틴 마블|블루스 인 인디아|콩: 스컬 아일랜드|프리 파이어|룸|숏텀 12|트러블 위드 블리스|기숙학교: 금지된 일탈|훗
조 루소,Joe Russo,Joe Russo,감독,21 브릿지: 테러 셧다운 |어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
안소니 루소,Anthony Russo,Anthony Russo,감독,21 브릿지: 테러 셧다운 |어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
마크 러팔로,Mark Ruffalo,Mark Ruffalo,배우,다크 워터스 |어벤져스: 엔드게임|어벤져스: 인피니티 워|토르: 라그나로크|나우 유 씨 미 2|스포트라이트|어벤져스: 에이지 오브 울트론|폭스캐처|인피니틀리 폴라 베어|비긴 어게인|나우 유 씨 미 : 마술사기단|땡스 포 쉐어링|마가렛|미라클맨 |에브리바디 올라잇|셔터 아일랜드|범죄도시|눈먼자들의 도시|레저베이션 로드|조디악|저스트 라이크 헤븐|이터널 선샤인|완벽한 그녀에게 딱 한가지 없는 것|콜래트럴|우린 어디에도 살지 않는다|나 없는 내 인생|인 더 컷|뷰 프롬 더 탑|XX/YY|유 캔 카운트 온 미|더 라스트 빅 씽
조슈 브롤린,Josh Brolin,Josh Brolin,배우,"듄|어벤져스: 엔드게임|데드풀 2: 순한맛|시카리오: 데이 오브 솔다도|데드풀 2|어벤져스: 인피니티 워|온리 더 브레이브|헤일, 시저!|시카리오: 암살자의 도시|에베레스트|씬 시티: 다크히어로의 부활|올드보이|레이버 데이|맨 인 블랙 3|갱스터 스쿼드|더 브레이브|환상의 그대|조나 헥스|더 프레지던트|밀크|플래닛 테러|노인을 위한 나라는 없다|씨크릿|구니스 "
카렌 길런,Karen Gillan,Karen Gillan,배우,건파우더 밀크셰이크|콜 오브 와일드|쥬만지: 넥스트 레벨|어벤져스: 엔드게임|어벤져스: 인피니티 워|천국에서 무덤까지|쥬만지: 새로운 세계|오큘러스|해피 엔딩
크리스 에반스,Chris Evans,Chris Evans,배우,나이브스 아웃|어벤져스: 엔드게임|어벤져스: 인피니티 워|어메이징 메리|캡틴 아메리카: 시빌 워|비포 위 고|어벤져스: 에이지 오브 울트론|타임 투 러브|캡틴 아메리카: 윈터 솔져|설국열차|아이스맨|어벤져스|불량변호사|퍼스트 어벤져|왓츠 유어 넘버|루저스|푸시|런던|셀룰러|퍼펙트 스코어|섹스 아카데미
스칼렛 요한슨,Scarlett Johansson,Scarlett Johansson,배우,"블랙 위도우|씽2게더|조조 래빗|결혼 이야기|어벤져스: 엔드게임|개들의 섬|어벤져스: 인피니티 워|공각기동대 : 고스트 인 더 쉘|씽|헤일, 시저!|정글북|캡틴 아메리카: 시빌 워|어벤져스: 에이지 오브 울트론|아메리칸 셰프|루시|캡틴 아메리카: 윈터 솔져|언더 더 스킨|그녀|돈 존|어벤져스|히치콕|우리는 동물원을 샀다|아이언맨 2|내 남자의 아내도 좋아|천일의 스캔들|스피릿|내니 다이어리|블랙 달리아|스쿠프|매치 포인트|굿 우먼|퍼펙트 스코어|러브 송 포 바비 롱|진주 귀걸이를 한 소녀|사랑도 통역이 되나요?|아메리칸 랩소디|판타스틱 소녀백서|베이브는 외출 중"
크리스 헴스워스,Chris Hemsworth,Chris Hemsworth,배우,맨 인 블랙: 인터내셔널|어벤져스: 엔드게임|어벤져스: 인피니티 워|12 솔져스|12 솔져스-특별판|토르: 라그나로크|고스트버스터즈|헌츠맨: 윈터스 워|하트 오브 더 씨|블랙코드|어벤져스: 에이지 오브 울트론|토르: 다크 월드|러시 : 더 라이벌|캐빈 인 더 우즈|스노우 화이트 앤 더 헌츠맨|어벤져스|레드 던|토르: 천둥의 신
브래들리 쿠퍼,Bradley Cooper,Bradley Cooper,배우,어벤져스: 엔드게임|라스트 미션|스타 이즈 본|어벤져스: 인피니티 워|가디언즈 오브 갤럭시 VOL. 2|조이|더 셰프|알로하|세레나|아메리칸 스나이퍼|가디언즈 오브 갤럭시|아메리칸 허슬|플레이스 비욘드 더 파인즈|행오버3|실버라이닝 플레이북|더 스토리: 세상에 숨겨진 사랑|히트 앤 런|리미트리스|행오버 2|A-특공대|발렌타인 데이|행오버|뉴욕 아이 러브 유|미드나잇 미트 트레인
